date,country,location,cases_new,deaths_new,cases_cumulative,deaths_cumulative,hcw_cumulative,cases_cumulative_confirmed,deaths_cumulative_confirmed,cumulative_confirmed_hcw,notes,link
2014-01-01,Guinea,,,,0,0,0,0,0,0,baseline,
2014-01-01,Liberia,,,,0,0,0,0,0,0,baseline,
2014-01-01,Sierra Leone,,,,0,0,0,0,0,0,baseline,
2014-03-23,Guinea,,,,49,29,,,,,,http://www.who.int/csr/don/2014_03_23_ebola/en/
2014-03-24,Guinea,,,,86,59,,,,,,http://www.who.int/csr/don/2014_03_24_ebola/en/
2014-03-25,Guinea,,,,86,60,,,,,,http://www.who.int/csr/don/2014_03_25_ebola/en/
2014-03-26,Guinea,,,,86,62,,,,,,http://www.who.int/csr/don/2014_03_26_ebola/en/
2014-03-27,Guinea,Conakry,5,1,,,,,,,,http://www.who.int/csr/don/2014_03_27_ebola/en/
2014-03-27,Guinea,Guekedou,8,,,,,,,,,http://www.who.int/csr/don/2014_03_27_ebola/en/
2014-03-27,Guinea,Macenta,2,,,,,,,,,http://www.who.int/csr/don/2014_03_27_ebola/en/
2014-03-27,Guinea,,,,103,66,,,,,,http://www.who.int/csr/don/2014_03_27_ebola/en/
2014-03-28,Guinea,Conakry,4,,,,,,,,,http://www.who.int/csr/don/2014_03_30_ebola/en/
2014-03-28,Guinea,Guekedou,4,,,,,,,,,http://www.who.int/csr/don/2014_03_30_ebola/en/
2014-03-28,Guinea,Macenta,1,,,,,,,,,http://www.who.int/csr/don/2014_03_30_ebola/en/
2014-03-28,Guinea,Dabola,1,,,,,,,,,http://www.who.int/csr/don/2014_03_30_ebola/en/
2014-03-28,Guinea,,,,112,70,,,,,,http://www.who.int/csr/don/2014_03_30_ebola/en/
2014-03-28,Liberia,,3,,,,,,,,"travelled to Guékédou, Guinea",http://www.who.int/csr/don/2014_03_30_ebola/en/
2014-03-31,Guinea,,19,14,122,80,,24,,,,http://www.who.int/csr/don/2014_04_01_ebola/en/
2014-03-31,Guinea,Conakry,,,11,,,,,,,http://www.who.int/csr/don/2014_04_01_ebola/en/
2014-03-31,Guinea,Guekedou,,,77,,,,,,,http://www.who.int/csr/don/2014_04_01_ebola/en/
2014-03-31,Guinea,Macenta,,,23,,,,,,,http://www.who.int/csr/don/2014_04_01_ebola/en/
2014-03-31,Guinea,Kissidougou,,,8,,,,,,,http://www.who.int/csr/don/2014_04_01_ebola/en/
2014-03-31,Guinea,"Dabola, Djingararye",,,3,,,,,,,http://www.who.int/csr/don/2014_04_01_ebola/en/
2014-04-01,Guinea,,5,3,127,83,,35,,,,http://www.who.int/csr/don/2014_04_02_ebola/en/
2014-04-01,Guinea,Conakry,,,12,4,,11,,,,http://www.who.int/csr/don/2014_04_02_ebola/en/
2014-04-01,Guinea,Guekedou,,,79,57,,,,,,http://www.who.int/csr/don/2014_04_02_ebola/en/
2014-04-01,Guinea,Macenta,,,23,14,,,,,,http://www.who.int/csr/don/2014_04_02_ebola/en/
2014-04-01,Guinea,Kissidougou,,,9,5,,,,,,http://www.who.int/csr/don/2014_04_02_ebola/en/
2014-04-01,Guinea,"Dabola, Djingararye",,,4,3,,,,,,http://www.who.int/csr/don/2014_04_02_ebola/en/
2014-04-01,Liberia,,,,8,5,,2,1,,,http://www.who.int/csr/don/2014_04_02_ebola/en/
2014-04-01,Liberia,Lofa,,,2,1,,2,1,,,http://www.who.int/csr/don/2014_04_02_ebola/en/
2014-04-04,Guinea,,,,143,86,14,54,16,11,,http://www.who.int/csr/don/2014_04_05_ebola/en/
2014-04-04,Guinea,"Conakry, Guekedou, Macenta",23,,143,86,,54,,,,http://www.who.int/csr/don/2014_04_05_ebola/en/
2014-04-04,Guinea,Conakry,,,18,5,,16,,,,http://www.who.int/csr/don/2014_04_05_ebola/en/
2014-04-04,Guinea,Guekedou,,,85,59,,,,,,http://www.who.int/csr/don/2014_04_05_ebola/en/
2014-04-04,Guinea,Macenta,,,27,14,,,,,,http://www.who.int/csr/don/2014_04_05_ebola/en/
2014-04-04,Guinea,Kissidougou,,,9,5,,,,,,http://www.who.int/csr/don/2014_04_05_ebola/en/
2014-04-04,Guinea,"Dabola, Djingararye",,,4,3,,,,,,http://www.who.int/csr/don/2014_04_05_ebola/en/
2014-04-04,Liberia,,4,,18,7,,2,2,,,http://www.who.int/csr/don/2014_04_05_ebola/en/
2014-04-04,Liberia,Lofa,,,2,2,,2,2,,Sisters from Lofa County,http://www.who.int/csr/don/2014_04_05_ebola/en/
2014-04-04,Liberia,"Tapita, Nimba County",1,1,,,,,,,"The suspected cases include a hunter treated at a hospital in Tapita, Nimba County, who died shortly after presenting to the health facility. The deceased hunter gave no history of contact with known cases in Liberia or Guinea and his exposure is being investigated to exclude transmission from an animal source (bush meat).",http://www.who.int/csr/don/2014_04_05_ebola/en/
2014-04-07,Guinea,,,,151,95,,,,,,http://www.who.int/csr/don/2014_04_07_ebola/en/
2014-04-07,Liberia,,,,21,10,3,5,5,,"As of 7 April, the Ministry of Health and Social Welfare (MOHSW) of Liberia has reported a cumulative total of 5 laboratory confirmed cases and 16 suspected and probable cases of Ebola virus disease (EVD), including 10 deaths. All 5 laboratory confirmed cases have died. The most recent death is in a probable case of EVD from Montserrado. Three cases have occurred in health-care workers, all of whom have died. The date of onset of the most recent confirmed case is 6 April, with 6 patients currently hospitalised. At present 28 contacts remain under medical observation.",http://www.who.int/csr/don/2014_04_05_ebola/en/
2014-04-07,Sierra Leone,,,,0,0,,,,,,http://www.who.int/csr/don/2014_04_05_ebola/en/
2014-04-09,Guinea,,,,158,101,,66,24,,,http://www.who.int/csr/don/2014_04_10_ebola/en/
2014-04-09,Guinea,Conakry,,,20,,,20,,,,http://www.who.int/csr/don/2014_04_10_ebola/en/
2014-04-09,Guinea,Guekedou,,,96,,,32,,,,http://www.who.int/csr/don/2014_04_10_ebola/en/
2014-04-09,Guinea,Macenta,,,28,,,12,,,,http://www.who.int/csr/don/2014_04_10_ebola/en/
2014-04-09,Guinea,Kissidougou,,,9,,,1,,,,http://www.who.int/csr/don/2014_04_10_ebola/en/
2014-04-09,Guinea,"Dabola, Djingararye",,,5,,15,1,,10,,http://www.who.int/csr/don/2014_04_10_ebola/en/
2014-04-10,Liberia,,,,25,,,5,5,,,http://www.who.int/csr/don/2014_04_10_ebola/en/
2014-04-10,Liberia,Lofa,,,10,9,,4,4,,,http://www.who.int/csr/don/2014_04_10_ebola/en/
2014-04-10,Liberia,Margibi,,,6,1,,1,1,,,http://www.who.int/csr/don/2014_04_10_ebola/en/
2014-04-10,Liberia,Bong,,,4,0,,,,,,http://www.who.int/csr/don/2014_04_10_ebola/en/
2014-04-10,Liberia,Nimba,,,3,1,,,,,,http://www.who.int/csr/don/2014_04_10_ebola/en/
2014-04-10,Liberia,Montserrado,,,1,1,,,,,,http://www.who.int/csr/don/2014_04_10_ebola/en/
2014-04-10,Liberia,Grand Cape Mount,,,1,0,,,,,,http://www.who.int/csr/don/2014_04_10_ebola/en/
2014-04-10,Mali,,,,6,,,,,,,http://www.who.int/csr/don/2014_04_10_ebola/en/
2014-04-14,Guinea,,,,168,108,,,,,,http://www.who.int/csr/don/2014_04_14_ebola/en/
2014-04-11,Guinea,,,,159,106,,71,42,,,http://www.who.int/csr/don/2014_04_14_ebola/en/
2014-04-11,Guinea,Conakry,,,31,,,22,,,,http://www.who.int/csr/don/2014_04_14_ebola/en/
2014-04-11,Guinea,Guekedou,,,95,,,35,,,,http://www.who.int/csr/don/2014_04_14_ebola/en/
2014-04-11,Guinea,Macenta,,,21,,,12,,,,http://www.who.int/csr/don/2014_04_14_ebola/en/
2014-04-11,Guinea,Kissidougou,,,6,,,1,,,,http://www.who.int/csr/don/2014_04_14_ebola/en/
2014-04-11,Guinea,Dabola,,,5,,,1,,,,http://www.who.int/csr/don/2014_04_14_ebola/en/
2014-04-11,Guinea,Djingararye,,,1,,,0,,,,http://www.who.int/csr/don/2014_04_14_ebola/en/
2014-04-11,Liberia,,,,26,13,,6,6,3,"As of 11 April, the Ministry of Health and Social Welfare (MOHSW) of Liberia has reported a cumulative total of 26 clinical cases of EVD (6 laboratory confirmed, and 20 probable and suspected cases of EVD, including 13 deaths. The most recent clinical case was identified on 11 April while the date of admission of the most recent laboratory confirmed case is 4 April; 3 patients are currently hospitalised while 5 suspected cases that tested PCR negative for ebolavirus have been discharged (4 from Bong Country and 1 from Nimba County).

Lofa County accounts for 38% of the clinical cases reported to date (4 laboratory confirmed and 6 suspected cases) followed by Margibi County (23%, 1 confirmed and 5 suspected cases). Other Counties at risk include Bong (5 suspected cases) and Nimba (3 suspected cases). Montserrado and Grand Cape Mount Counties have each reported one suspected case. At present 35 contacts remain under medical observation and 32 have been released from follow-up. A cumulative number of 13 deaths are being attributed to EVD; Lofa (9), Nimba (1), Margibi (2) and Montserrado (1). All 6 laboratory confirmed cases have died; this includes 3 HCW.",http://www.who.int/csr/don/2014_04_14_ebola/en/
2014-04-11,Liberia,Lofa,,,10,9,,4,,,,http://www.who.int/csr/don/2014_04_14_ebola/en/
